FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "left"¿ {}
3¿ 7¿ "AST_parentOf"¿ "right"¿ {}
4¿ 5¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
4¿ 6¿ "AST_parentOf"¿ "property"¿ {"kwarg":"onload"}
7¿ 8¿ "AST_parentOf"¿ "body"¿ {}
8¿ 9¿ "AST_parentOf"¿ "body"¿ {"arg":0}
8¿ 20¿ "AST_parentOf"¿ "body"¿ {"arg":1}
8¿ 28¿ "AST_parentOf"¿ "body"¿ {"arg":2}
8¿ 36¿ "AST_parentOf"¿ "body"¿ {"arg":3}
9¿ 10¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
10¿ 11¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObject"}
10¿ 12¿ "AST_parentOf"¿ "init"¿ {}
12¿ 13¿ "AST_parentOf"¿ "left"¿ {}
12¿ 16¿ "AST_parentOf"¿ "right"¿ {}
13¿ 14¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
13¿ 15¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
16¿ 17¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
17¿ 18¿ "AST_parentOf"¿ "key"¿ {"kwarg":"url"}
17¿ 19¿ "AST_parentOf"¿ "value"¿ {"kwarg":""}
20¿ 21¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
21¿ 22¿ "AST_parentOf"¿ "id"¿ {"kwarg":"script"}
21¿ 23¿ "AST_parentOf"¿ "init"¿ {}
23¿ 24¿ "AST_parentOf"¿ "callee"¿ {}
23¿ 27¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
24¿ 25¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
24¿ 26¿ "AST_parentOf"¿ "property"¿ {"kwarg":"createElement"}
28¿ 29¿ "AST_parentOf"¿ "expression"¿ {}
29¿ 30¿ "AST_parentOf"¿ "left"¿ {}
29¿ 33¿ "AST_parentOf"¿ "right"¿ {}
30¿ 31¿ "AST_parentOf"¿ "object"¿ {"kwarg":"script"}
30¿ 32¿ "AST_parentOf"¿ "property"¿ {"kwarg":"src"}
33¿ 34¿ "AST_parentOf"¿ "object"¿ {"kwarg":"myObject"}
33¿ 35¿ "AST_parentOf"¿ "property"¿ {"kwarg":"url"}
36¿ 37¿ "AST_parentOf"¿ "expression"¿ {}
37¿ 38¿ "AST_parentOf"¿ "callee"¿ {}
37¿ 43¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
38¿ 39¿ "AST_parentOf"¿ "object"¿ {}
38¿ 42¿ "AST_parentOf"¿ "property"¿ {"kwarg":"appendChild"}
39¿ 40¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
39¿ 41¿ "AST_parentOf"¿ "property"¿ {"kwarg":"body"}
1¿ 2¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
2¿ 44¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
8¿ 9¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
9¿ 20¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
20¿ 28¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
28¿ 36¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
36¿ 45¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
8¿ 28¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
9¿ 28¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
8¿ 36¿ "PDG_parentOf"¿ "DataFlow"¿ "script"
20¿ 36¿ "PDG_parentOf"¿ "DataFlow"¿ "script"
28¿ 36¿ "PDG_parentOf"¿ "DataFlow"¿ "script"
