FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 29¿ "AST_parentOf"¿ "body"¿ {"arg":1}
1¿ 30¿ "AST_parentOf"¿ "body"¿ {"arg":2}
2¿ 3¿ "AST_parentOf"¿ "id"¿ {"kwarg":"set_domain"}
2¿ 4¿ "AST_parentOf"¿ "params"¿ {"arg":0}
2¿ 5¿ "AST_parentOf"¿ "body"¿ {}
5¿ 6¿ "AST_parentOf"¿ "body"¿ {"arg":0}
5¿ 17¿ "AST_parentOf"¿ "body"¿ {"arg":1}
5¿ 23¿ "AST_parentOf"¿ "body"¿ {"arg":2}
6¿ 7¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
7¿ 8¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObject"}
7¿ 9¿ "AST_parentOf"¿ "init"¿ {}
9¿ 10¿ "AST_parentOf"¿ "left"¿ {}
9¿ 13¿ "AST_parentOf"¿ "right"¿ {}
10¿ 11¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
10¿ 12¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
13¿ 14¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
14¿ 15¿ "AST_parentOf"¿ "key"¿ {"kwarg":"domain"}
14¿ 16¿ "AST_parentOf"¿ "value"¿ {"kwarg":"my_domain"}
17¿ 18¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
18¿ 19¿ "AST_parentOf"¿ "id"¿ {"kwarg":"new_domain"}
18¿ 20¿ "AST_parentOf"¿ "init"¿ {}
20¿ 21¿ "AST_parentOf"¿ "object"¿ {"kwarg":"myObject"}
20¿ 22¿ "AST_parentOf"¿ "property"¿ {"kwarg":"domain"}
23¿ 24¿ "AST_parentOf"¿ "expression"¿ {}
24¿ 25¿ "AST_parentOf"¿ "left"¿ {}
24¿ 28¿ "AST_parentOf"¿ "right"¿ {"kwarg":"new_domain"}
25¿ 26¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
25¿ 27¿ "AST_parentOf"¿ "property"¿ {"kwarg":"domain"}
30¿ 31¿ "AST_parentOf"¿ "expression"¿ {}
31¿ 32¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"set_domain"}
31¿ 33¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
1¿ 30¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 17¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
17¿ 23¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
23¿ 35¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 6¿ "PDG_parentOf"¿ "DataFlow"¿ "my_domain"
5¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
6¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "new_domain"
17¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "new_domain"
1¿ 30¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 17¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
17¿ 23¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
23¿ 35¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
36¿ 34¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 6¿ "PDG_parentOf"¿ "DataFlow"¿ "my_domain"
5¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
6¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "new_domain"
17¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "new_domain"
"31"¿ "2"¿ "CG_parentOf"¿ "CallFlow"¿ {"0":"'my_domain.com'"}
