FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "id"¿ {"kwarg":"postmyhtml"}
2¿ 4¿ "AST_parentOf"¿ "body"¿ {}
4¿ 5¿ "AST_parentOf"¿ "body"¿ {"arg":0}
4¿ 16¿ "AST_parentOf"¿ "body"¿ {"arg":1}
5¿ 6¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
6¿ 7¿ "AST_parentOf"¿ "id"¿ {"kwarg":"object"}
6¿ 8¿ "AST_parentOf"¿ "init"¿ {}
8¿ 9¿ "AST_parentOf"¿ "left"¿ {}
8¿ 12¿ "AST_parentOf"¿ "right"¿ {}
9¿ 10¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
9¿ 11¿ "AST_parentOf"¿ "property"¿ {"kwarg":"TestFile"}
12¿ 13¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
13¿ 14¿ "AST_parentOf"¿ "key"¿ {"kwarg":"value"}
13¿ 15¿ "AST_parentOf"¿ "value"¿ {"kwarg":""}
16¿ 17¿ "AST_parentOf"¿ "test"¿ {}
16¿ 20¿ "AST_parentOf"¿ "consequent"¿ {}
16¿ 31¿ "AST_parentOf"¿ "alternate"¿ {}
17¿ 18¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
17¿ 19¿ "AST_parentOf"¿ "property"¿ {"kwarg":"TestFile"}
20¿ 21¿ "AST_parentOf"¿ "body"¿ {"arg":0}
20¿ 27¿ "AST_parentOf"¿ "body"¿ {"arg":1}
21¿ 22¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
22¿ 23¿ "AST_parentOf"¿ "id"¿ {"kwarg":"code"}
22¿ 24¿ "AST_parentOf"¿ "init"¿ {}
24¿ 25¿ "AST_parentOf"¿ "object"¿ {"kwarg":"object"}
24¿ 26¿ "AST_parentOf"¿ "property"¿ {"kwarg":"value"}
27¿ 28¿ "AST_parentOf"¿ "expression"¿ {}
28¿ 29¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"eval"}
28¿ 30¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
31¿ 32¿ "AST_parentOf"¿ "body"¿ {"arg":0}
31¿ 42¿ "AST_parentOf"¿ "body"¿ {"arg":1}
32¿ 33¿ "AST_parentOf"¿ "expression"¿ {}
33¿ 34¿ "AST_parentOf"¿ "left"¿ {"kwarg":"userinput"}
33¿ 35¿ "AST_parentOf"¿ "right"¿ {}
35¿ 36¿ "AST_parentOf"¿ "object"¿ {}
35¿ 41¿ "AST_parentOf"¿ "property"¿ {"kwarg":"value"}
36¿ 37¿ "AST_parentOf"¿ "callee"¿ {}
36¿ 40¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
37¿ 38¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
37¿ 39¿ "AST_parentOf"¿ "property"¿ {"kwarg":"getElementById"}
42¿ 43¿ "AST_parentOf"¿ "expression"¿ {}
43¿ 44¿ "AST_parentOf"¿ "left"¿ {}
43¿ 51¿ "AST_parentOf"¿ "right"¿ {"kwarg":"userinput"}
44¿ 45¿ "AST_parentOf"¿ "object"¿ {}
44¿ 50¿ "AST_parentOf"¿ "property"¿ {"kwarg":"innerHTML"}
45¿ 46¿ "AST_parentOf"¿ "callee"¿ {}
45¿ 49¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
46¿ 47¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
46¿ 48¿ "AST_parentOf"¿ "property"¿ {"kwarg":"getElementById"}
1¿ 52¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
4¿ 5¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
5¿ 17¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
17¿ 21¿ "CFG_parentOf"¿ "Cond_True"¿ "normal"
17¿ 32¿ "CFG_parentOf"¿ "Cond_False"¿ "normal"
21¿ 27¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
27¿ 53¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
32¿ 42¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
42¿ 53¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
4¿ 21¿ "PDG_parentOf"¿ "DataFlow"¿ "object"
5¿ 21¿ "PDG_parentOf"¿ "DataFlow"¿ "object"
4¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "code"
21¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "code"
32¿ 42¿ "PDG_parentOf"¿ "DataFlow"¿ "userinput"
