FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 12¿ "AST_parentOf"¿ "body"¿ {"arg":1}
1¿ 13¿ "AST_parentOf"¿ "body"¿ {"arg":2}
1¿ 24¿ "AST_parentOf"¿ "body"¿ {"arg":3}
2¿ 3¿ "AST_parentOf"¿ "id"¿ {"kwarg":"f"}
2¿ 4¿ "AST_parentOf"¿ "params"¿ {"arg":0}
2¿ 5¿ "AST_parentOf"¿ "body"¿ {}
5¿ 6¿ "AST_parentOf"¿ "body"¿ {"arg":0}
6¿ 7¿ "AST_parentOf"¿ "expression"¿ {}
7¿ 8¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"eval"}
7¿ 9¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
9¿ 10¿ "AST_parentOf"¿ "left"¿ {"kwarg":"stringPrefix"}
9¿ 11¿ "AST_parentOf"¿ "right"¿ {"kwarg":"code"}
13¿ 14¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
14¿ 15¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObject"}
14¿ 16¿ "AST_parentOf"¿ "init"¿ {}
16¿ 17¿ "AST_parentOf"¿ "left"¿ {}
16¿ 20¿ "AST_parentOf"¿ "right"¿ {}
17¿ 18¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
17¿ 19¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
20¿ 21¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
21¿ 22¿ "AST_parentOf"¿ "key"¿ {"kwarg":"code"}
21¿ 23¿ "AST_parentOf"¿ "value"¿ {"kwarg":""}
24¿ 25¿ "AST_parentOf"¿ "expression"¿ {}
25¿ 26¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"f"}
25¿ 27¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
27¿ 28¿ "AST_parentOf"¿ "object"¿ {"kwarg":"myObject"}
27¿ 29¿ "AST_parentOf"¿ "property"¿ {"kwarg":"code"}
1¿ 13¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
13¿ 24¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
13¿ 24¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 31¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 6¿ "PDG_parentOf"¿ "DataFlow"¿ "code"
1¿ 13¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
13¿ 24¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 31¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
32¿ 30¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
13¿ 24¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 6¿ "PDG_parentOf"¿ "DataFlow"¿ "code"
"25"¿ "2"¿ "CG_parentOf"¿ "CallFlow"¿ {"0":"myObject.code"}
