FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 28¿ "AST_parentOf"¿ "body"¿ {"arg":1}
2¿ 3¿ "AST_parentOf"¿ "id"¿ {"kwarg":"main"}
2¿ 4¿ "AST_parentOf"¿ "body"¿ {}
4¿ 5¿ "AST_parentOf"¿ "body"¿ {"arg":0}
4¿ 16¿ "AST_parentOf"¿ "body"¿ {"arg":1}
4¿ 22¿ "AST_parentOf"¿ "body"¿ {"arg":2}
5¿ 6¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
6¿ 7¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObject"}
6¿ 8¿ "AST_parentOf"¿ "init"¿ {}
8¿ 9¿ "AST_parentOf"¿ "left"¿ {}
8¿ 12¿ "AST_parentOf"¿ "right"¿ {}
9¿ 10¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
9¿ 11¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
12¿ 13¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
13¿ 14¿ "AST_parentOf"¿ "key"¿ {"kwarg":"html"}
13¿ 15¿ "AST_parentOf"¿ "value"¿ {"kwarg":"Hello world!"}
16¿ 17¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
17¿ 18¿ "AST_parentOf"¿ "id"¿ {"kwarg":"new_html"}
17¿ 19¿ "AST_parentOf"¿ "init"¿ {}
19¿ 20¿ "AST_parentOf"¿ "object"¿ {"kwarg":"myObject"}
19¿ 21¿ "AST_parentOf"¿ "property"¿ {"kwarg":"html"}
22¿ 23¿ "AST_parentOf"¿ "expression"¿ {}
23¿ 24¿ "AST_parentOf"¿ "left"¿ {}
23¿ 27¿ "AST_parentOf"¿ "right"¿ {"kwarg":"new_html"}
24¿ 25¿ "AST_parentOf"¿ "object"¿ {"kwarg":"hashValue"}
24¿ 26¿ "AST_parentOf"¿ "property"¿ {"kwarg":"innerHTML"}
28¿ 29¿ "AST_parentOf"¿ "expression"¿ {}
29¿ 30¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"main"}
1¿ 28¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
4¿ 5¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
5¿ 16¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
16¿ 22¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
22¿ 32¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
4¿ 16¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 16¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
4¿ 22¿ "PDG_parentOf"¿ "DataFlow"¿ "new_html"
16¿ 22¿ "PDG_parentOf"¿ "DataFlow"¿ "new_html"
1¿ 28¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
4¿ 5¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
5¿ 16¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
16¿ 22¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
22¿ 32¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
33¿ 31¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
4¿ 16¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 16¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
4¿ 22¿ "PDG_parentOf"¿ "DataFlow"¿ "new_html"
16¿ 22¿ "PDG_parentOf"¿ "DataFlow"¿ "new_html"
"29"¿ "2"¿ "CG_parentOf"¿ "CallFlow"¿ ""
