FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 43¿ "AST_parentOf"¿ "body"¿ {"arg":1}
2¿ 3¿ "AST_parentOf"¿ "id"¿ {"kwarg":"main"}
2¿ 4¿ "AST_parentOf"¿ "body"¿ {}
4¿ 5¿ "AST_parentOf"¿ "body"¿ {"arg":0}
4¿ 16¿ "AST_parentOf"¿ "body"¿ {"arg":1}
4¿ 27¿ "AST_parentOf"¿ "body"¿ {"arg":2}
5¿ 6¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
6¿ 7¿ "AST_parentOf"¿ "id"¿ {"kwarg":"obj"}
6¿ 8¿ "AST_parentOf"¿ "init"¿ {}
8¿ 9¿ "AST_parentOf"¿ "left"¿ {}
8¿ 12¿ "AST_parentOf"¿ "right"¿ {}
9¿ 10¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
9¿ 11¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
12¿ 13¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
13¿ 14¿ "AST_parentOf"¿ "key"¿ {"kwarg":"html"}
13¿ 15¿ "AST_parentOf"¿ "value"¿ {"kwarg":"Hello world!"}
16¿ 17¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
17¿ 18¿ "AST_parentOf"¿ "id"¿ {"kwarg":"obj2"}
17¿ 19¿ "AST_parentOf"¿ "init"¿ {}
19¿ 20¿ "AST_parentOf"¿ "left"¿ {}
19¿ 23¿ "AST_parentOf"¿ "right"¿ {}
20¿ 21¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
20¿ 22¿ "AST_parentOf"¿ "property"¿ {"kwarg":"fodes"}
23¿ 24¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
24¿ 25¿ "AST_parentOf"¿ "key"¿ {"kwarg":"cwd"}
24¿ 26¿ "AST_parentOf"¿ "value"¿ {"kwarg":"Hello world!"}
27¿ 28¿ "AST_parentOf"¿ "expression"¿ {}
28¿ 29¿ "AST_parentOf"¿ "left"¿ {}
28¿ 32¿ "AST_parentOf"¿ "right"¿ {}
29¿ 30¿ "AST_parentOf"¿ "object"¿ {"kwarg":"hashValue"}
29¿ 31¿ "AST_parentOf"¿ "property"¿ {"kwarg":"innerHTML"}
32¿ 33¿ "AST_parentOf"¿ "left"¿ {}
32¿ 40¿ "AST_parentOf"¿ "right"¿ {}
33¿ 34¿ "AST_parentOf"¿ "left"¿ {}
33¿ 39¿ "AST_parentOf"¿ "right"¿ {"kwarg":"suffix"}
34¿ 35¿ "AST_parentOf"¿ "left"¿ {"kwarg":"thisPrefix"}
34¿ 36¿ "AST_parentOf"¿ "right"¿ {}
36¿ 37¿ "AST_parentOf"¿ "object"¿ {"kwarg":"obj"}
36¿ 38¿ "AST_parentOf"¿ "property"¿ {"kwarg":"html"}
40¿ 41¿ "AST_parentOf"¿ "object"¿ {"kwarg":"obj2"}
40¿ 42¿ "AST_parentOf"¿ "property"¿ {"kwarg":"cwd"}
43¿ 44¿ "AST_parentOf"¿ "expression"¿ {}
44¿ 45¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"main"}
1¿ 43¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
4¿ 5¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
5¿ 16¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
16¿ 27¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
27¿ 47¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
4¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "obj"
5¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "obj"
4¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "obj2"
16¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "obj2"
1¿ 43¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
4¿ 5¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
5¿ 16¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
16¿ 27¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
27¿ 47¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
48¿ 46¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
4¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "obj"
5¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "obj"
4¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "obj2"
16¿ 27¿ "PDG_parentOf"¿ "DataFlow"¿ "obj2"
"44"¿ "2"¿ "CG_parentOf"¿ "CallFlow"¿ ""
