FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
4¿ 5¿ "AST_parentOf"¿ "body"¿ {}
5¿ 6¿ "AST_parentOf"¿ "body"¿ {"arg":0}
5¿ 17¿ "AST_parentOf"¿ "body"¿ {"arg":1}
6¿ 7¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
7¿ 8¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObject"}
7¿ 9¿ "AST_parentOf"¿ "init"¿ {}
9¿ 10¿ "AST_parentOf"¿ "left"¿ {}
9¿ 13¿ "AST_parentOf"¿ "right"¿ {}
10¿ 11¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
10¿ 12¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
13¿ 14¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
14¿ 15¿ "AST_parentOf"¿ "key"¿ {"kwarg":"arg"}
14¿ 16¿ "AST_parentOf"¿ "value"¿ {"kwarg":"some data"}
17¿ 18¿ "AST_parentOf"¿ "expression"¿ {}
18¿ 19¿ "AST_parentOf"¿ "callee"¿ {}
18¿ 26¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
19¿ 20¿ "AST_parentOf"¿ "object"¿ {}
19¿ 25¿ "AST_parentOf"¿ "property"¿ {"kwarg":"append"}
20¿ 21¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"$"}
20¿ 22¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
22¿ 23¿ "AST_parentOf"¿ "object"¿ {"kwarg":"myObject"}
22¿ 24¿ "AST_parentOf"¿ "property"¿ {"kwarg":"arg"}
1¿ 2¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
2¿ 27¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 17¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
17¿ 28¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
6¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
