FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
4¿ 5¿ "AST_parentOf"¿ "body"¿ {}
5¿ 6¿ "AST_parentOf"¿ "body"¿ {"arg":0}
5¿ 17¿ "AST_parentOf"¿ "body"¿ {"arg":1}
5¿ 28¿ "AST_parentOf"¿ "body"¿ {"arg":2}
5¿ 34¿ "AST_parentOf"¿ "body"¿ {"arg":3}
6¿ 7¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
7¿ 8¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObjectK"}
7¿ 9¿ "AST_parentOf"¿ "init"¿ {}
9¿ 10¿ "AST_parentOf"¿ "left"¿ {}
9¿ 13¿ "AST_parentOf"¿ "right"¿ {}
10¿ 11¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
10¿ 12¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
13¿ 14¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
14¿ 15¿ "AST_parentOf"¿ "key"¿ {"kwarg":"setting_key"}
14¿ 16¿ "AST_parentOf"¿ "value"¿ {"kwarg":"legit_key"}
17¿ 18¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
18¿ 19¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObjectV"}
18¿ 20¿ "AST_parentOf"¿ "init"¿ {}
20¿ 21¿ "AST_parentOf"¿ "left"¿ {}
20¿ 24¿ "AST_parentOf"¿ "right"¿ {}
21¿ 22¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
21¿ 23¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
24¿ 25¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
25¿ 26¿ "AST_parentOf"¿ "key"¿ {"kwarg":"setting_val"}
25¿ 27¿ "AST_parentOf"¿ "value"¿ {"kwarg":"legit_value"}
28¿ 29¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
29¿ 30¿ "AST_parentOf"¿ "id"¿ {"kwarg":"k"}
29¿ 31¿ "AST_parentOf"¿ "init"¿ {}
31¿ 32¿ "AST_parentOf"¿ "object"¿ {"kwarg":"myObjectK"}
31¿ 33¿ "AST_parentOf"¿ "property"¿ {"kwarg":"setting_key"}
34¿ 35¿ "AST_parentOf"¿ "expression"¿ {}
35¿ 36¿ "AST_parentOf"¿ "callee"¿ {}
35¿ 39¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
35¿ 40¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
36¿ 37¿ "AST_parentOf"¿ "object"¿ {"kwarg":"localStorage"}
36¿ 38¿ "AST_parentOf"¿ "property"¿ {"kwarg":"setItem"}
40¿ 41¿ "AST_parentOf"¿ "object"¿ {"kwarg":"myObjectV"}
40¿ 42¿ "AST_parentOf"¿ "property"¿ {"kwarg":"setting_val"}
1¿ 2¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
2¿ 43¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 17¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
17¿ 28¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
28¿ 34¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
34¿ 44¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 28¿ "PDG_parentOf"¿ "DataFlow"¿ "myObjectK"
6¿ 28¿ "PDG_parentOf"¿ "DataFlow"¿ "myObjectK"
5¿ 34¿ "PDG_parentOf"¿ "DataFlow"¿ "myObjectV"
17¿ 34¿ "PDG_parentOf"¿ "DataFlow"¿ "myObjectV"
5¿ 34¿ "PDG_parentOf"¿ "DataFlow"¿ "k"
28¿ 34¿ "PDG_parentOf"¿ "DataFlow"¿ "k"
