Id:ID¿ Type¿ Kind¿ Code¿ Range¿ Location¿ Value¿ Raw¿ Async¿ Label:LABEL¿ SemanticType
33¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ASTNode¿ 
34¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ASTNode¿ 
35¿ exit¿ ¿ ¿ ¿ ¿ ¿ ¿ ¿ ASTNode¿ 
1¿ Program¿ ¿ ¿ [153,344]¿ {start:{line:2,column:0},end:{line:7,column:22}}¿ ¿ ¿ ¿ ASTNode¿ 
2¿ FunctionDeclaration¿ ¿ ¿ [153,321]¿ {start:{line:2,column:0},end:{line:6,column:1}}¿ ¿ ¿ false¿ ASTNode¿ 
3¿ Identifier¿ ¿ f¿ [162,163]¿ {start:{line:2,column:9},end:{line:2,column:10}}¿ ¿ ¿ ¿ ASTNode¿ 
4¿ Identifier¿ ¿ json_param¿ [164,174]¿ {start:{line:2,column:11},end:{line:2,column:21}}¿ ¿ ¿ ¿ ASTNode¿ 
5¿ BlockStatement¿ ¿ ¿ [176,321]¿ {start:{line:2,column:23},end:{line:6,column:1}}¿ ¿ ¿ ¿ ASTNode¿ 
6¿ VariableDeclaration¿ let¿ ¿ [182,241]¿ {start:{line:3,column:4},end:{line:3,column:63}}¿ ¿ ¿ ¿ ASTNode¿ 
7¿ VariableDeclarator¿ ¿ =¿ [186,240]¿ {start:{line:3,column:8},end:{line:3,column:62}}¿ ¿ ¿ ¿ ASTNode¿ 
8¿ Identifier¿ ¿ myObject¿ [186,194]¿ {start:{line:3,column:8},end:{line:3,column:16}}¿ ¿ ¿ ¿ ASTNode¿ 
9¿ LogicalExpression¿ ¿ ||¿ [197,240]¿ {start:{line:3,column:19},end:{line:3,column:62}}¿ ¿ ¿ ¿ ASTNode¿ 
10¿ MemberExpression¿ ¿ ¿ [197,212]¿ {start:{line:3,column:19},end:{line:3,column:34}}¿ ¿ ¿ ¿ ASTNode¿ 
11¿ Identifier¿ ¿ window¿ [197,203]¿ {start:{line:3,column:19},end:{line:3,column:25}}¿ ¿ ¿ ¿ ASTNode¿ 
12¿ Identifier¿ ¿ myObject¿ [204,212]¿ {start:{line:3,column:26},end:{line:3,column:34}}¿ ¿ ¿ ¿ ASTNode¿ 
13¿ ObjectExpression¿ ¿ ¿ [216,240]¿ {start:{line:3,column:38},end:{line:3,column:62}}¿ ¿ ¿ ¿ ASTNode¿ 
14¿ Property¿ init¿ ¿ [218,238]¿ {start:{line:3,column:40},end:{line:3,column:60}}¿ ¿ ¿ ¿ ASTNode¿ 
15¿ Identifier¿ ¿ json_str¿ [218,226]¿ {start:{line:3,column:40},end:{line:3,column:48}}¿ ¿ ¿ ¿ ASTNode¿ 
16¿ Identifier¿ ¿ json_param¿ [228,238]¿ {start:{line:3,column:50},end:{line:3,column:60}}¿ ¿ ¿ ¿ ASTNode¿ 
17¿ VariableDeclaration¿ var¿ ¿ [246,283]¿ {start:{line:4,column:4},end:{line:4,column:41}}¿ ¿ ¿ ¿ ASTNode¿ 
18¿ VariableDeclarator¿ ¿ =¿ [250,282]¿ {start:{line:4,column:8},end:{line:4,column:40}}¿ ¿ ¿ ¿ ASTNode¿ 
19¿ Identifier¿ ¿ new_location¿ [250,262]¿ {start:{line:4,column:8},end:{line:4,column:20}}¿ ¿ ¿ ¿ ASTNode¿ 
20¿ MemberExpression¿ ¿ ¿ [265,282]¿ {start:{line:4,column:23},end:{line:4,column:40}}¿ ¿ ¿ ¿ ASTNode¿ 
21¿ Identifier¿ ¿ myObject¿ [265,273]¿ {start:{line:4,column:23},end:{line:4,column:31}}¿ ¿ ¿ ¿ ASTNode¿ 
22¿ Identifier¿ ¿ location¿ [274,282]¿ {start:{line:4,column:32},end:{line:4,column:40}}¿ ¿ ¿ ¿ ASTNode¿ 
23¿ ExpressionStatement¿ ¿ ¿ [288,319]¿ {start:{line:5,column:4},end:{line:5,column:35}}¿ ¿ ¿ ¿ ASTNode¿ 
24¿ AssignmentExpression¿ ¿ =¿ [288,318]¿ {start:{line:5,column:4},end:{line:5,column:34}}¿ ¿ ¿ ¿ ASTNode¿ 
25¿ MemberExpression¿ ¿ ¿ [288,303]¿ {start:{line:5,column:4},end:{line:5,column:19}}¿ ¿ ¿ ¿ ASTNode¿ 
26¿ Identifier¿ ¿ window¿ [288,294]¿ {start:{line:5,column:4},end:{line:5,column:10}}¿ ¿ ¿ ¿ ASTNode¿ 
27¿ Identifier¿ ¿ location¿ [295,303]¿ {start:{line:5,column:11},end:{line:5,column:19}}¿ ¿ ¿ ¿ ASTNode¿ 
28¿ Identifier¿ ¿ new_location¿ [306,318]¿ {start:{line:5,column:22},end:{line:5,column:34}}¿ ¿ ¿ ¿ ASTNode¿ 
29¿ ExpressionStatement¿ ¿ ¿ [322,344]¿ {start:{line:7,column:0},end:{line:7,column:22}}¿ ¿ ¿ ¿ ASTNode¿ 
30¿ CallExpression¿ ¿ ¿ [322,343]¿ {start:{line:7,column:0},end:{line:7,column:21}}¿ ¿ ¿ ¿ ASTNode¿ 
31¿ Identifier¿ ¿ f¿ [322,323]¿ {start:{line:7,column:0},end:{line:7,column:1}}¿ ¿ ¿ ¿ ASTNode¿ 
32¿ Literal¿ ¿ ¿ [324,342]¿ {start:{line:7,column:2},end:{line:7,column:20}}¿ {auth_state:1}¿ '{auth_state:1}'¿ ¿ ASTNode¿ 
