FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 29¿ "AST_parentOf"¿ "body"¿ {"arg":1}
2¿ 3¿ "AST_parentOf"¿ "id"¿ {"kwarg":"f"}
2¿ 4¿ "AST_parentOf"¿ "params"¿ {"arg":0}
2¿ 5¿ "AST_parentOf"¿ "body"¿ {}
5¿ 6¿ "AST_parentOf"¿ "body"¿ {"arg":0}
5¿ 17¿ "AST_parentOf"¿ "body"¿ {"arg":1}
5¿ 23¿ "AST_parentOf"¿ "body"¿ {"arg":2}
6¿ 7¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
7¿ 8¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObject"}
7¿ 9¿ "AST_parentOf"¿ "init"¿ {}
9¿ 10¿ "AST_parentOf"¿ "left"¿ {}
9¿ 13¿ "AST_parentOf"¿ "right"¿ {}
10¿ 11¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
10¿ 12¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
13¿ 14¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
14¿ 15¿ "AST_parentOf"¿ "key"¿ {"kwarg":"json_str"}
14¿ 16¿ "AST_parentOf"¿ "value"¿ {"kwarg":"json_param"}
17¿ 18¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
18¿ 19¿ "AST_parentOf"¿ "id"¿ {"kwarg":"new_location"}
18¿ 20¿ "AST_parentOf"¿ "init"¿ {}
20¿ 21¿ "AST_parentOf"¿ "object"¿ {"kwarg":"myObject"}
20¿ 22¿ "AST_parentOf"¿ "property"¿ {"kwarg":"location"}
23¿ 24¿ "AST_parentOf"¿ "expression"¿ {}
24¿ 25¿ "AST_parentOf"¿ "left"¿ {}
24¿ 28¿ "AST_parentOf"¿ "right"¿ {"kwarg":"new_location"}
25¿ 26¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
25¿ 27¿ "AST_parentOf"¿ "property"¿ {"kwarg":"location"}
29¿ 30¿ "AST_parentOf"¿ "expression"¿ {}
30¿ 31¿ "AST_parentOf"¿ "callee"¿ {"kwarg":"f"}
30¿ 32¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
1¿ 29¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 17¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
17¿ 23¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
23¿ 34¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 6¿ "PDG_parentOf"¿ "DataFlow"¿ "json_param"
5¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
6¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "new_location"
17¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "new_location"
1¿ 29¿ "CFG_parentOf"¿ "Epsilon"¿ "call"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 17¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
17¿ 23¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
23¿ 34¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
35¿ 33¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 6¿ "PDG_parentOf"¿ "DataFlow"¿ "json_param"
5¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
6¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "new_location"
17¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "new_location"
"30"¿ "2"¿ "CG_parentOf"¿ "CallFlow"¿ {"0":"'{""auth_state"":1}'"}
