FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
1¿ 13¿ "AST_parentOf"¿ "body"¿ {"arg":1}
1¿ 21¿ "AST_parentOf"¿ "body"¿ {"arg":2}
2¿ 3¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
3¿ 4¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObject"}
3¿ 5¿ "AST_parentOf"¿ "init"¿ {}
5¿ 6¿ "AST_parentOf"¿ "left"¿ {}
5¿ 9¿ "AST_parentOf"¿ "right"¿ {}
6¿ 7¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
6¿ 8¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
9¿ 10¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
10¿ 11¿ "AST_parentOf"¿ "key"¿ {"kwarg":"safe_mode"}
10¿ 12¿ "AST_parentOf"¿ "value"¿ {"kwarg":true}
13¿ 14¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
14¿ 15¿ "AST_parentOf"¿ "id"¿ {"kwarg":"settingsStr"}
14¿ 16¿ "AST_parentOf"¿ "init"¿ {}
16¿ 17¿ "AST_parentOf"¿ "callee"¿ {}
16¿ 20¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
17¿ 18¿ "AST_parentOf"¿ "object"¿ {"kwarg":"JSON"}
17¿ 19¿ "AST_parentOf"¿ "property"¿ {"kwarg":"stringify"}
21¿ 22¿ "AST_parentOf"¿ "expression"¿ {}
22¿ 23¿ "AST_parentOf"¿ "left"¿ {}
22¿ 26¿ "AST_parentOf"¿ "right"¿ {}
23¿ 24¿ "AST_parentOf"¿ "object"¿ {"kwarg":"document"}
23¿ 25¿ "AST_parentOf"¿ "property"¿ {"kwarg":"cookie"}
26¿ 27¿ "AST_parentOf"¿ "left"¿ {"kwarg":"settings="}
26¿ 28¿ "AST_parentOf"¿ "right"¿ {"kwarg":"settingsStr"}
1¿ 2¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
2¿ 13¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
13¿ 21¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
21¿ 29¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
2¿ 13¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
13¿ 21¿ "PDG_parentOf"¿ "DataFlow"¿ "settingsStr"
