FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
4¿ 5¿ "AST_parentOf"¿ "body"¿ {}
5¿ 6¿ "AST_parentOf"¿ "body"¿ {"arg":0}
5¿ 17¿ "AST_parentOf"¿ "body"¿ {"arg":1}
5¿ 24¿ "AST_parentOf"¿ "body"¿ {"arg":2}
6¿ 7¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
7¿ 8¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObject"}
7¿ 9¿ "AST_parentOf"¿ "init"¿ {}
9¿ 10¿ "AST_parentOf"¿ "left"¿ {}
9¿ 13¿ "AST_parentOf"¿ "right"¿ {}
10¿ 11¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
10¿ 12¿ "AST_parentOf"¿ "property"¿ {"kwarg":"myObject"}
13¿ 14¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
14¿ 15¿ "AST_parentOf"¿ "key"¿ {"kwarg":"setting_val"}
14¿ 16¿ "AST_parentOf"¿ "value"¿ {"kwarg":"legit_value"}
17¿ 18¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
18¿ 19¿ "AST_parentOf"¿ "id"¿ {"kwarg":"wrapper"}
18¿ 20¿ "AST_parentOf"¿ "init"¿ {}
20¿ 21¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
21¿ 22¿ "AST_parentOf"¿ "key"¿ {"kwarg":"obj"}
21¿ 23¿ "AST_parentOf"¿ "value"¿ {"kwarg":"myObject"}
24¿ 25¿ "AST_parentOf"¿ "expression"¿ {}
25¿ 26¿ "AST_parentOf"¿ "callee"¿ {}
25¿ 29¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
25¿ 30¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
26¿ 27¿ "AST_parentOf"¿ "object"¿ {"kwarg":"sessionStorage"}
26¿ 28¿ "AST_parentOf"¿ "property"¿ {"kwarg":"setItem"}
30¿ 31¿ "AST_parentOf"¿ "object"¿ {}
30¿ 34¿ "AST_parentOf"¿ "property"¿ {"kwarg":"setting_val"}
31¿ 32¿ "AST_parentOf"¿ "object"¿ {"kwarg":"wrapper"}
31¿ 33¿ "AST_parentOf"¿ "property"¿ {"kwarg":"obj"}
1¿ 2¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
2¿ 35¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 17¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
17¿ 24¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
24¿ 36¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
6¿ 17¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 24¿ "PDG_parentOf"¿ "DataFlow"¿ "wrapper"
17¿ 24¿ "PDG_parentOf"¿ "DataFlow"¿ "wrapper"
