FromId:START_ID¿ ToId:END_ID¿ RelationLabel:TYPE¿ RelationType¿ Arguments
1¿ 2¿ "AST_parentOf"¿ "body"¿ {"arg":0}
2¿ 3¿ "AST_parentOf"¿ "expression"¿ {}
3¿ 4¿ "AST_parentOf"¿ "callee"¿ {}
4¿ 5¿ "AST_parentOf"¿ "body"¿ {}
5¿ 6¿ "AST_parentOf"¿ "body"¿ {"arg":0}
5¿ 16¿ "AST_parentOf"¿ "body"¿ {"arg":1}
5¿ 23¿ "AST_parentOf"¿ "body"¿ {"arg":2}
6¿ 7¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
7¿ 8¿ "AST_parentOf"¿ "id"¿ {"kwarg":"myObject"}
7¿ 9¿ "AST_parentOf"¿ "init"¿ {}
9¿ 10¿ "AST_parentOf"¿ "object"¿ {}
9¿ 15¿ "AST_parentOf"¿ "property"¿ {"kwarg":"c"}
10¿ 11¿ "AST_parentOf"¿ "object"¿ {}
10¿ 14¿ "AST_parentOf"¿ "property"¿ {"kwarg":"b"}
11¿ 12¿ "AST_parentOf"¿ "object"¿ {"kwarg":"window"}
11¿ 13¿ "AST_parentOf"¿ "property"¿ {"kwarg":"a"}
16¿ 17¿ "AST_parentOf"¿ "declarations"¿ {"arg":0}
17¿ 18¿ "AST_parentOf"¿ "id"¿ {"kwarg":"wrapper"}
17¿ 19¿ "AST_parentOf"¿ "init"¿ {}
19¿ 20¿ "AST_parentOf"¿ "properties"¿ {"arg":0}
20¿ 21¿ "AST_parentOf"¿ "key"¿ {"kwarg":"obj"}
20¿ 22¿ "AST_parentOf"¿ "value"¿ {"kwarg":"myObject"}
23¿ 24¿ "AST_parentOf"¿ "expression"¿ {}
24¿ 25¿ "AST_parentOf"¿ "callee"¿ {}
24¿ 28¿ "AST_parentOf"¿ "arguments"¿ {"arg":0}
24¿ 29¿ "AST_parentOf"¿ "arguments"¿ {"arg":1}
25¿ 26¿ "AST_parentOf"¿ "object"¿ {"kwarg":"sessionStorage"}
25¿ 27¿ "AST_parentOf"¿ "property"¿ {"kwarg":"setItem"}
29¿ 30¿ "AST_parentOf"¿ "object"¿ {}
29¿ 33¿ "AST_parentOf"¿ "property"¿ {"kwarg":"setting_val"}
30¿ 31¿ "AST_parentOf"¿ "object"¿ {"kwarg":"wrapper"}
30¿ 32¿ "AST_parentOf"¿ "property"¿ {"kwarg":"obj"}
1¿ 2¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
2¿ 34¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 6¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
6¿ 16¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
16¿ 23¿ "CFG_parentOf"¿ "Epsilon"¿ "normal"
23¿ 35¿ "CFG_parentOf"¿ "Epsilon"¿ "exit"
5¿ 16¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
6¿ 16¿ "PDG_parentOf"¿ "DataFlow"¿ "myObject"
5¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "wrapper"
16¿ 23¿ "PDG_parentOf"¿ "DataFlow"¿ "wrapper"
